IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
43.198.207.3,2087,2087,,,,HK,100,10.8
103.30.77.166,2096,2096,,,,HK,100,10.8
47.76.35.146,80,80,,,,HK,100,10.8
8.217.167.233,3005,3005,,,,HK,100,10.8
47.238.105.180,12198,12198,,,,HK,100,10.8
47.239.1.168,443,443,,,,HK,100,10.8
47.239.51.97,443,443,,,,HK,100,10.8
38.38.251.220,443,443,,,,US,100,10.8
103.235.18.96,12317,12317,,,,HK,100,10.8
168.138.46.67,443,443,,,,JP,100,10.8
141.147.144.246,8080,8080,,,,JP,100,10.8
8.210.213.159,587,587,,,,HK,100,10.8
220.88.248.133,20100,20100,,,,KR,100,10.8
108.165.152.113,443,443,,,,US,100,10.8
121.174.135.183,18032,18032,,,,KR,100,10.8
92.243.74.23,2096,2096,,,,SG,100,10.8
121.145.126.10,18048,18048,,,,KR,100,10.8
220.122.114.61,10071,10071,,,,KR,100,10.8
154.211.8.220,2096,2096,,,,US,100,10.8
47.91.18.127,443,443,,,,JP,100,10.8
108.165.152.98,2087,2087,,,,US,100,10.8
108.165.152.131,443,443,,,,US,100,10.8
103.116.7.103,2083,2083,,,,US,100,10.8
27.50.49.208,443,443,,,,SG,100,10.8
14.45.100.190,21251,21251,,,,KR,100,10.8
220.78.4.3,12520,12520,,,,KR,100,10.8
92.243.75.49,2087,2087,,,,SG,100,10.8
154.218.15.250,2083,2083,,,,HK,100,10.8
106.240.1.52,20443,20443,,,,KR,100,10.8
218.156.198.40,37222,37222,,,,KR,100,10.8
211.230.64.93,10201,10201,,,,KR,100,10.8
220.94.164.48,10084,10084,,,,KR,100,10.8
108.165.152.202,2083,2083,,,,US,100,10.8
108.165.152.67,2053,2053,,,,US,100,10.8
27.50.49.74,2087,2087,,,,SG,100,10.8
67.226.221.30,80,80,,,,US,100,10.8
47.79.88.27,443,443,,,,JP,100,10.8
138.2.36.157,8443,8443,,,,JP,100,10.8
183.98.32.104,50003,50003,,,,KR,100,10.8
92.243.74.2,8443,8443,,,,SG,100,10.8
210.222.30.180,17100,17100,,,,KR,100,10.8
45.66.129.147,46741,46741,,,,JP,100,10.8
124.156.202.172,443,443,,,,SG,100,10.8
209.94.90.87,2087,2087,,,,US,100,10.8
27.50.49.177,8443,8443,,,,SG,100,10.8
152.69.199.70,8443,8443,,,,JP,100,10.8
fbi.gov,443,443,,,,,100,10.8
43.156.116.194,443,443,,,,SG,100,10.8
gur.gov.ua,443,443,,,,,100,10.8
192.227.247.75,443,443,,,,US,100,10.8
27.50.49.61,2096,2096,,,,SG,100,10.8
64.110.101.31,8443,8443,,,,JP,100,10.8
icook.tw,443,443,,,,,100,10.8
45.87.102.122,444,444,,,,HK,100,10.8
107.173.87.103,443,443,,,,US,100,10.8
119.199.237.105,50003,50003,,,,KR,100,10.8
104.129.166.131,8443,8443,,,,US,100,10.8
45.87.103.154,52001,52001,,,,HK,100,10.8
8.222.166.43,443,443,,,,SG,100,10.8
